time,energy,cmmt,sstot,d12,d13,d14,d23,d24,d34,rg1,rg2,rg3,rg4
2799.000133,-279443.7617,3.101562,19.388374,0.85611,1.97227,1.688722,1.255504,1.450169,1.11145,0.691874,0.688348,0.762017,0.693674
2849.000135,-284310.8242,2.944102,27.383947,1.282434,1.681652,1.399886,1.218338,1.796532,1.041311,0.624054,0.662116,0.657289,0.651817
2899.000138,-282185.4688,2.570411,17.927611,1.417154,1.646568,1.299075,1.626823,1.559719,1.15933,0.729767,0.702908,0.665545,0.657845
2949.00014,-287468.0469,2.80941,18.125614,1.459356,1.561575,1.284595,1.56276,1.376444,1.150554,0.784743,0.673516,0.656414,0.663226
2999.000142,-284581.8242,2.886691,20.357823,1.405867,1.560418,1.2376,1.584561,1.404711,1.133339,0.730512,0.708782,0.666946,0.676484
3049.000145,-283827.3789,3.239134,26.823362,1.223831,1.631135,1.295036,1.194379,1.701782,1.012728,0.625323,0.668741,0.64412,0.638207
3099.000147,-280230.9102,3.118444,27.557445,1.276785,1.622765,1.341742,1.195556,1.763764,0.99641,0.633536,0.657658,0.649022,0.632731
3149.00015,-280197.9414,3.157349,28.074903,1.259191,1.653631,1.357493,1.15421,1.716403,1.01326,0.622052,0.658534,0.677649,0.652947
3199.000152,-284513.5469,3.006634,27.694191,1.272523,1.684563,1.41318,1.140013,1.753651,1.08245,0.639142,0.645611,0.658564,0.692435
3249.000154,-281057.9102,3.029537,27.234131,1.235097,1.633654,1.361173,1.198875,1.792622,1.099412,0.631524,0.676388,0.643724,0.690298
3299.000157,-278805.6484,3.012818,25.050276,1.282029,1.690403,1.397438,1.143211,1.74531,1.077945,0.6588,0.718357,0.645188,0.64248
3349.000159,-279127.7617,2.992566,28.111035,1.313825,1.710478,1.287601,1.243147,1.741894,1.057152,0.645583,0.668822,0.642968,0.644472
3399.000161,-282306.2578,3.105017,26.078452,1.369225,1.692939,1.239461,1.165993,1.697139,1.056666,0.641319,0.72176,0.677776,0.648522
3449.000164,-277108.9336,2.639069,20.886446,1.450459,1.634152,1.290384,1.637173,1.476592,1.13675,0.682275,0.684237,0.668156,0.672491
3499.000166,-280829.7266,2.634564,22.301772,1.45945,1.693908,1.342264,1.522598,1.447066,1.147077,0.675122,0.701632,0.660051,0.665961
3549.000169,-282314.4961,2.655677,21.673479,1.529564,1.55973,1.321135,1.55531,1.439616,1.154844,0.681222,0.691407,0.654459,0.645469
3599.000171,-286469.5352,2.69092,22.461781,1.4327,1.584923,1.329468,1.597546,1.455531,1.132708,0.665386,0.676818,0.663491,0.67296
3649.000173,-283655.6758,2.818789,26.694971,1.328687,1.762846,1.372054,1.236511,1.783737,1.092709,0.650952,0.666982,0.666493,0.653664
3699.000176,-285389.8359,2.704375,20.212084,1.492284,1.550918,1.276155,1.63562,1.440891,1.13792,0.691628,0.702109,0.669225,0.6677
3749.000178,-285044.7188,2.959839,26.313039,1.324988,1.682849,1.383324,1.189462,1.764902,1.040522,0.652166,0.678707,0.644326,0.668921
3799.00018,-287393.0586,2.635272,21.72497,1.454759,1.650759,1.385662,1.568718,1.405507,1.135602,0.673752,0.691202,0.664326,0.657016
3849.000183,-282003.4258,3.692202,18.617617,1.088181,1.17596,1.138293,1.228598,1.954509,1.16548,0.686912,0.745258,0.640057,0.732386
3899.000185,-283164.5625,2.812057,25.521006,1.442249,1.688536,1.254048,1.367069,1.836213,0.972997,0.660166,0.695741,0.646882,0.644203
3949.000188,-278135.793,3.523281,19.254472,1.084212,1.190722,1.204571,1.260763,1.992083,1.200254,0.669028,0.701304,0.645409,0.714048
3999.00019,-279774.1719,2.877412,22.682977,0.918284,1.96141,1.756347,1.217653,1.586696,1.205365,0.672539,0.655849,0.722135,0.657698
4049.000192,-283028.8359,2.986649,21.913053,0.926902,1.939466,1.720294,1.140778,1.516205,1.244592,0.67206,0.671117,0.707805,0.689352
4099.000195,-285399.0039,3.038236,20.899705,0.922906,1.928376,1.64103,1.13008,1.472,1.28391,0.663915,0.681575,0.769705,0.712616
4149.000197,-278837.7109,3.161322,22.865408,1.22636,1.552343,1.300911,1.246556,1.825807,1.022215,0.730069,0.664328,0.651702,0.675736
4199.000199,-283970.75,3.120867,22.383729,1.24102,1.51954,1.351464,1.197592,1.879933,1.056883,0.739327,0.699826,0.645983,0.658192
4249.000202,-283737.6758,2.939804,21.32788,1.333365,1.62321,1.366409,1.204506,1.847324,1.054618,0.733785,0.674231,0.668964,0.670955
4299.000204,-279782.5195,3.133287,23.202892,1.158185,1.57308,1.471956,1.186882,1.827153,1.008454,0.714981,0.691383,0.652562,0.664458
4349.000207,-281369.918,3.12388,23.447595,1.277819,1.565541,1.405654,1.10879,1.815035,1.043678,0.733695,0.698398,0.640457,0.65729
4399.000209,-285048.7773,3.165849,22.836401,1.304325,1.52459,1.3308,1.127703,1.835876,1.050791,0.721509,0.67305,0.658114,0.658831
4449.000211,-279807.2539,3.014214,21.218824,0.920695,2.002167,1.689289,1.168068,1.402258,1.284349,0.676405,0.661778,0.812778,0.674332
4499.000214,-279279.3789,3.269975,16.730104,0.920369,1.528489,1.531832,1.331648,1.394518,1.183772,0.706435,0.715606,0.658518,0.580087
4549.000216,-285095.5781,3.003144,22.306522,0.918605,1.9957,1.708169,1.17099,1.430631,1.261219,0.683045,0.673724,0.746573,0.65979
4599.000218,-288482.3242,3.032963,22.712166,0.917838,1.912697,1.685259,1.074066,1.462073,1.33376,0.6689,0.670867,0.745613,0.676354
4649.000221,-283338.1797,3.126855,23.9334,0.931966,1.855526,1.635918,1.065555,1.499742,1.26065,0.664418,0.683973,0.771148,0.643964
4699.000223,-280436.8477,3.277806,22.96916,1.611102,1.470802,1.227706,1.016831,1.770007,0.933819,0.636463,0.708947,0.662758,0.68785
4749.000226,-277930.25,3.022695,19.549367,0.959537,2.043177,1.613488,1.188218,1.367945,1.29579,0.686575,0.69602,0.778794,0.662067
4799.000228,-284910.5117,3.095667,20.740589,0.951547,2.065106,1.570456,1.187272,1.301643,1.319966,0.676489,0.69279,0.747837,0.668316
4849.00023,-279497.9883,3.053822,19.026456,0.968892,1.590388,1.612628,1.388666,1.398092,1.206499,0.695319,0.708077,0.65164,0.58055
4899.000233,-278718.3008,3.035049,21.598393,0.944428,2.103914,1.496316,1.308429,1.309909,1.292024,0.682155,0.715561,0.79317,0.654307
4949.000235,-287042.1953,3.101895,22.278592,0.943049,2.067941,1.57563,1.20819,1.282782,1.31276,0.673108,0.693138,0.791545,0.652989
4999.000237,-276117.543,3.192188,21.274429,1.047624,2.052642,1.407283,1.203183,1.2896,1.282522,0.663875,0.70983,0.785717,0.665682
5049.00024,-284415.7539,3.435371,23.19875,1.268241,1.364213,1.310725,0.996991,1.857271,1.09963,0.710774,0.703938,0.640377,0.663189
5099.000242,-278211.0547,3.621415,23.076928,1.213825,1.28151,1.304545,0.951121,1.850679,1.102978,0.716296,0.719865,0.670239,0.655207
5149.000245,-283138.6953,3.169349,24.856348,1.004663,1.993805,1.377021,1.18114,1.3469,1.344702,0.659569,0.696842,0.739728,0.655468
5199.000247,-280052.3281,3.133443,22.923749,0.9769,1.958968,1.482656,1.12718,1.389387,1.331043,0.667885,0.707119,0.743351,0.674203
5249.000249,-280882.8359,3.183794,18.180849,0.947967,1.561831,1.629179,1.240266,1.461511,1.199837,0.710617,0.675252,0.668663,0.589813
5299.000252,-282229.2383,2.98982,18.4478,0.88878,1.572278,1.746105,1.309612,1.543101,1.215741,0.695775,0.688893,0.667263,0.635483
5349.000254,-280775.6914,3.057877,21.22068,1.675777,1.538016,1.208997,1.13387,1.811894,0.965743,0.655603,0.70554,0.650838,0.683937
5399.000256,-280610.8438,3.215196,18.008703,0.919916,1.51652,1.733136,1.167886,1.574425,1.160556,0.709329,0.683174,0.671193,0.634278
5449.000259,-282837.8008,3.119854,24.533563,1.004595,2.052528,1.440071,1.15467,1.307504,1.391261,0.672165,0.693433,0.699951,0.653363
5499.000261,-288024.3633,2.990693,18.587672,0.926473,1.577244,1.780842,1.299187,1.593702,1.158358,0.717809,0.684716,0.660061,0.612038
5549.000264,-282845.6133,3.026437,17.704856,1.017929,1.604157,1.626621,1.300698,1.519515,1.168372,0.707744,0.729587,0.650777,0.591643
5599.000266,-280259.75,3.34545,19.710813,1.318818,1.384938,1.295913,1.023656,1.866583,1.105176,0.718826,0.738654,0.668659,0.698469
5649.000268,-279766.3594,3.559554,20.229039,1.127347,1.316375,1.254987,1.168355,1.879376,1.067381,0.670654,0.723433,0.611673,0.59514
5699.000271,-283677.8164,3.050521,24.038493,1.134442,2.046752,1.403577,1.088035,1.371744,1.37541,0.659045,0.699222,0.680475,0.650092
5749.000273,-283025.6094,2.886321,20.900612,1.052508,2.163909,1.385204,1.272864,1.34058,1.452585,0.676182,0.691362,0.686336,0.673444
5799.000275,-286393.9258,3.420094,20.312572,1.274996,1.289255,1.417895,0.932981,1.900293,1.108414,0.733087,0.709845,0.675668,0.656728
5849.000278,-285329.9336,3.246459,21.209648,1.397119,1.261262,1.392868,1.024935,2.012491,1.111752,0.756592,0.719255,0.658196,0.655876
5899.00028,-286035.2188,3.545166,19.519387,1.174357,1.279926,1.264554,1.205173,1.908798,1.001285,0.672895,0.726394,0.644502,0.595246
5949.000283,-280580.9336,3.605171,19.033777,1.093952,1.282495,1.30064,1.192322,1.888942,1.005361,0.676959,0.7137,0.663057,0.612211
5999.000285,-282689.2734,3.59968,19.759676,1.113324,1.293911,1.242978,1.175157,1.890534,1.068264,0.663549,0.699639,0.627899,0.588847
6049.000287,-282312.293,3.624666,19.226917,1.107152,1.310474,1.216863,1.196716,1.825744,1.059053,0.662252,0.727983,0.639758,0.607692
6099.00029,-275635.9492,3.21141,19.89155,1.019563,1.983669,1.329275,1.184651,1.362503,1.322985,0.67834,0.674131,0.695593,0.704653
6149.000292,-284456.2695,3.689924,20.403814,1.040349,1.305036,1.468361,1.05275,1.448128,1.181288,0.709034,0.752962,0.688087,0.666732
6199.000294,-282962.6367,3.697349,19.69866,1.07018,1.361939,1.575129,1.001538,1.369606,1.127456,0.695262,0.741485,0.689662,0.665367
6249.000297,-282497.9805,3.85159,19.892809,1.022106,1.352465,1.457492,1.067804,1.31782,1.113293,0.709216,0.74736,0.699483,0.654664
6299.000299,-278548.9375,3.85537,20.212828,1.039636,1.279152,1.491984,1.034292,1.39035,1.100196,0.744612,0.72536,0.687731,0.66733
6349.000302,-282877.6953,3.640604,17.804814,1.020303,1.321694,1.284674,1.185333,1.833929,1.045806,0.709387,0.723437,0.663311,0.601721
6399.000304,-283507.5977,3.757268,17.036902,0.929705,1.355078,1.248388,1.222649,1.727898,0.994047,0.72892,0.751931,0.671203,0.609145
6449.000306,-281089.8516,3.528007,19.43959,1.104124,1.36999,1.238499,1.221633,1.841888,1.037239,0.700396,0.709553,0.636862,0.622477
6499.000309,-285388.7422,3.506442,19.798258,1.124962,1.296908,1.255542,1.1865,1.931854,1.107549,0.692183,0.699881,0.651495,0.622261
6549.000311,-278027.0469,3.402416,17.231141,1.116272,1.363449,1.261901,1.248119,1.915718,1.080097,0.720084,0.73578,0.641907,0.596399
6599.000313,-285776.6563,3.514167,17.325058,1.101443,1.32223,1.290954,1.167052,1.880636,1.095501,0.722702,0.730054,0.626298,0.633789
